IP地址,ICMP_RTT_ms,ICMP_Min_ms,ICMP_Max_ms,ICMP_丢包率%,CF_Colo,落地城市,落地国家,TCP_平均RTT_ms,TCP_443中位数RTT_ms,TCP_443_Jitter_ms,TCP_443_有效轮数,TCP_可达端口,TCP_总端口,TCP_80_RTT_ms,TCP_443_RTT_ms,TCP_2052_RTT_ms,TCP_2083_RTT_ms,TCP_2086_RTT_ms,TCP_2087_RTT_ms,TCP_2095_RTT_ms,TCP_2096_RTT_ms,路由跳数,路由落地(推测),路由落地证据,路由质量等级,路由质量描述,电信回程,联通回程,移动回程,联通评分,电信评分,移动评分,下载速度_MB/s,综合评分,延迟评分,稳定性评分,速度评分,路由评分,落地评分,质量等级,质量分数,适合CF优选,稀有优质段,优选说明,稀有说明
108.162.198.104,54.5,54.0,55.0,0.0,NRT,日本东京,JP,51.5,77.0,15.7,3,8,8,38.3,77.0,42.5,35.3,57.0,36.1,73.4,52.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,6.2,59.5,88,50,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.208,70.0,70.0,70.0,0.0,NRT,日本东京,JP,57.8,52.9,22.8,4,8,8,78.1,52.9,49.4,70.6,55.2,34.6,68.9,52.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.8,59.5,88,50,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.12,71.0,71.0,71.0,0.0,NRT,日本东京,JP,51.6,55.2,2.3,3,8,8,84.3,55.2,55.4,32.3,53.6,68.8,32.0,30.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.9,59.5,88,100,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.103,32.0,32.0,32.0,0.0,NRT,日本东京,JP,49.9,67.5,61.9,4,8,8,52.3,67.5,32.6,52.9,54.3,35.6,52.5,51.6,11,,,unknown,未检测到三网骨干,-,-,-,100,100,98,11.4,58.8,88,5,60,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.191,32.5,32.0,33.0,0.0,NRT,日本东京,JP,54.4,43.8,32.4,4,8,8,56.1,43.8,50.3,52.7,55.3,53.4,69.9,53.4,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.0,58.8,100,25,40,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.8,33.0,33.0,33.0,0.0,NRT,日本东京,JP,53.4,35.1,40.2,4,8,8,87.9,35.1,55.1,35.1,52.4,55.9,35.9,69.6,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.9,58.8,100,25,40,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.71,34.5,34.0,35.0,0.0,NRT,日本东京,JP,48.1,35.2,39.2,4,8,8,53.5,35.2,32.4,52.3,52.3,49.8,46.6,62.3,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,9.9,58.8,100,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.107,35.0,35.0,35.0,0.0,NRT,日本东京,JP,47.5,44.4,48.4,4,8,8,53.8,44.4,53.5,32.8,36.1,51.5,57.2,50.6,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,7.3,58.8,100,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.45,36.0,35.0,37.0,0.0,NRT,日本东京,JP,55.3,41.9,39.1,4,8,8,53.7,41.9,73.7,55.0,52.7,63.1,46.9,55.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.1,58.8,100,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.85,43.5,35.0,52.0,0.0,NRT,日本东京,JP,49.1,62.7,61.4,4,8,8,30.8,62.7,35.4,52.9,51.3,34.2,72.5,53.2,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,10.1,58.8,88,5,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.223,51.5,51.0,52.0,0.0,NRT,日本东京,JP,56.0,51.3,61.1,4,8,8,69.4,51.3,51.9,34.6,53.6,73.1,52.6,61.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,11.4,58.8,88,5,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.1,53.5,53.0,54.0,0.0,NRT,日本东京,JP,55.1,71.2,62.5,4,8,8,52.5,71.2,36.7,76.5,36.3,36.2,51.3,80.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,10.6,58.8,88,5,60,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.130,55.5,55.0,56.0,0.0,NRT,日本东京,JP,45.3,39.2,41.5,4,8,8,70.6,39.2,35.8,42.7,34.9,35.3,53.3,50.5,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,7.3,58.8,100,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.156,57.0,56.0,58.0,0.0,NRT,日本东京,JP,48.3,38.8,36.9,4,8,8,40.8,38.8,32.3,67.3,36.2,55.3,62.7,53.1,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,5.8,58.8,100,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.141,32.5,32.0,33.0,0.0,NRT,日本东京,JP,48.1,52.9,4.1,3,8,8,35.2,52.9,34.7,50.8,76.6,35.2,45.7,53.6,11,,,unknown,未检测到三网骨干,-,-,-,100,100,98,0.5,57.7,88,88,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.241,33.0,33.0,33.0,0.0,NRT,日本东京,JP,50.5,55.7,7.8,3,8,8,51.1,55.7,72.9,35.2,35.0,49.9,48.1,56.1,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.9,57.7,88,88,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.178,33.5,33.0,34.0,0.0,NRT,日本东京,JP,56.2,53.6,6.4,4,8,8,50.6,53.6,54.9,72.5,54.8,70.5,53.8,38.6,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,3.5,57.7,88,88,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.207,34.5,34.0,35.0,0.0,NRT,日本东京,JP,62.1,50.1,7.8,4,8,8,77.3,50.1,77.4,46.1,58.3,60.1,89.9,37.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.8,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.60,35.0,34.0,36.0,0.0,NRT,日本东京,JP,59.9,53.3,4.2,3,8,8,54.0,53.3,92.4,57.6,53.7,53.2,57.2,57.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.1,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.97,36.0,36.0,36.0,0.0,NRT,日本东京,JP,56.2,58.1,7.4,3,8,8,56.1,58.1,33.5,55.6,78.9,78.0,55.9,33.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.6,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.139,37.5,35.0,40.0,0.0,NRT,日本东京,JP,52.9,53.2,5.2,3,8,8,33.6,53.2,56.3,30.0,92.0,52.5,72.6,33.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.1,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.30,52.0,52.0,52.0,0.0,NRT,日本东京,JP,56.8,77.1,3.8,3,8,8,92.7,77.1,30.4,38.7,32.9,35.3,92.5,54.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.0,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.58,52.5,52.0,53.0,0.0,NRT,日本东京,JP,53.4,79.1,6.9,3,8,8,47.6,79.1,53.2,34.1,37.6,72.1,68.8,34.9,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.0,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.96,52.5,52.0,53.0,0.0,NRT,日本东京,JP,57.6,55.5,5.8,4,8,8,71.9,55.5,62.5,36.1,74.8,90.8,34.4,34.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.9,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.70,53.0,53.0,53.0,0.0,NRT,日本东京,JP,55.7,54.5,3.9,3,8,8,46.0,54.5,35.7,74.2,71.2,74.8,55.9,33.1,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.5,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.90,55.5,52.0,59.0,0.0,NRT,日本东京,JP,53.1,52.7,5.1,3,8,8,55.0,52.7,55.0,52.8,49.2,73.9,36.1,50.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.6,57.7,88,88,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.74,33.5,33.0,34.0,0.0,NRT,日本东京,JP,48.4,57.5,11.4,4,8,8,31.3,57.5,50.3,52.3,35.4,72.1,33.7,54.9,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (61.172.93.33, 202.97.39.205, 202.97.43.134)",-,-,100,100,98,1.5,57.3,88,72,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.128,31.5,31.0,32.0,0.0,NRT,日本东京,JP,50.9,45.6,22.1,4,8,8,70.1,45.6,78.6,35.1,30.3,32.4,52.3,62.6,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (180.175.160.1, 202.97.39.197, 202.97.43.134)",-,-,97,100,90,4.0,57.0,100,50,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.255,32.0,32.0,32.0,0.0,NRT,日本东京,JP,47.7,44.5,22.2,4,8,8,77.1,44.5,33.1,35.6,30.6,31.9,74.6,54.3,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (180.175.160.1, 202.97.57.157, 202.97.43.70)",-,-,100,100,98,1.5,57.0,100,50,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.6,32.5,32.0,33.0,0.0,NRT,日本东京,JP,48.4,34.0,20.4,4,8,8,65.3,34.0,34.2,33.4,34.8,53.3,79.5,52.4,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (61.172.90.57, 101.95.120.114, 202.97.62.26, 202.97.33.134, 202.97.42.166)",-,-,100,100,98,1.5,57.0,100,50,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.83,32.5,32.0,33.0,0.0,NRT,日本东京,JP,56.8,43.2,20.4,4,8,8,35.4,43.2,35.3,64.4,64.4,72.7,35.4,103.6,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (202.97.50.138, 202.97.12.190, 202.97.43.70)",-,-,97,100,90,0.2,57.0,100,50,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.217,32.5,32.0,33.0,0.0,NRT,日本东京,JP,62.1,44.3,23.9,4,8,8,53.6,44.3,72.4,53.8,56.2,70.4,72.4,73.5,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (180.175.160.1, 202.97.24.254, 202.97.88.250)",-,-,97,100,90,0.5,57.0,100,50,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.247,32.0,32.0,32.0,0.0,,未知,??,43.5,40.0,21.6,4,7,8,,40.0,32.8,53.9,34.6,54.8,53.4,34.9,11,,,unknown,未检测到三网骨干,-,-,-,65,65,65,8.9,56.5,100,50,40,40,40,premium,85,YES,NO,线路质量达标，可尝试优选,
108.162.198.161,33.0,33.0,33.0,0.0,NRT,日本东京,JP,54.0,56.6,43.4,4,8,8,54.9,56.6,55.5,71.3,34.1,32.6,56.2,70.6,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.6,55.8,88,25,40,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.142,33.5,33.0,34.0,0.0,NRT,日本东京,JP,58.2,62.8,58.0,4,8,8,53.1,62.8,52.3,34.7,68.4,53.6,66.1,74.5,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,6.1,55.8,88,25,40,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.160,34.0,34.0,34.0,0.0,NRT,日本东京,JP,56.1,52.6,39.0,4,8,8,108.3,52.6,33.4,56.9,52.1,76.3,35.6,33.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.5,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.228,34.0,34.0,34.0,0.0,NRT,日本东京,JP,53.8,73.0,46.6,4,8,8,51.9,73.0,73.1,54.9,55.6,34.7,54.4,33.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.1,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.14,35.0,34.0,36.0,0.0,NRT,日本东京,JP,43.8,72.4,58.6,4,8,8,31.8,72.4,33.9,53.8,56.3,35.0,34.2,32.9,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,5.5,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.213,35.0,35.0,35.0,0.0,NRT,日本东京,JP,52.5,72.8,54.2,4,8,8,71.2,72.8,53.3,58.3,39.8,38.5,34.6,51.2,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,6.5,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.204,36.0,36.0,36.0,0.0,NRT,日本东京,JP,52.4,54.1,47.7,4,8,8,79.0,54.1,53.3,52.6,47.5,63.3,32.6,36.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.6,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.53,36.5,36.0,37.0,0.0,NRT,日本东京,JP,53.0,59.3,33.1,4,8,8,32.5,59.3,75.6,35.5,56.0,47.3,47.2,70.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,6.3,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.65,38.0,35.0,41.0,0.0,NRT,日本东京,JP,55.8,56.9,37.8,4,8,8,88.6,56.9,32.1,33.1,56.3,33.5,74.4,71.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,6.1,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.231,51.5,34.0,69.0,0.0,NRT,日本东京,JP,48.7,66.4,42.9,4,8,8,67.5,66.4,66.9,32.8,32.1,35.8,36.0,51.9,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,7.0,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.121,52.0,52.0,52.0,0.0,NRT,日本东京,JP,60.7,55.4,40.6,4,8,8,71.6,55.4,36.6,71.6,73.4,71.3,70.4,35.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.7,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.126,52.0,52.0,52.0,0.0,NRT,日本东京,JP,48.9,50.9,38.4,4,8,8,35.7,50.9,33.8,33.8,47.6,73.2,63.0,53.4,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,8.8,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.44,53.0,53.0,53.0,0.0,NRT,日本东京,JP,48.3,61.7,43.3,4,8,8,70.8,61.7,51.6,34.8,35.2,63.6,35.7,32.8,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,5.7,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.78,53.5,53.0,54.0,0.0,NRT,日本东京,JP,66.8,62.2,31.7,4,7,8,77.4,62.2,74.0,93.6,,51.9,73.1,35.3,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,8.5,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.188,54.0,54.0,54.0,0.0,NRT,日本东京,JP,60.3,52.3,45.3,4,8,8,54.5,52.3,72.7,55.7,62.8,73.9,78.0,32.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,5.8,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.162,55.0,55.0,55.0,0.0,NRT,日本东京,JP,53.9,60.9,44.4,4,8,8,62.5,60.9,36.7,46.9,55.4,33.2,60.3,75.5,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,7.1,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.110,75.0,75.0,75.0,0.0,NRT,日本东京,JP,51.6,55.5,36.4,4,8,8,55.9,55.5,35.8,32.9,63.2,54.3,70.4,44.9,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,9.1,55.8,88,25,40,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.56,35.0,34.0,36.0,0.0,NRT,日本东京,JP,55.1,72.5,14.0,3,8,8,51.2,72.5,70.5,56.3,67.6,34.9,51.1,36.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.4,55.3,88,72,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.67,35.0,34.0,36.0,0.0,NRT,日本东京,JP,56.8,60.6,12.5,3,8,8,56.3,60.6,56.1,35.6,52.4,46.0,75.1,72.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.2,55.3,88,72,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.5,35.5,35.0,36.0,0.0,NRT,日本东京,JP,55.4,51.9,10.6,4,8,8,61.5,51.9,34.6,77.0,49.4,32.7,60.6,75.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.5,55.3,88,72,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.196,35.5,35.0,36.0,0.0,NRT,日本东京,JP,55.5,56.3,8.1,3,8,8,36.0,56.3,55.5,78.0,93.6,54.1,34.8,36.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.4,55.3,88,72,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.54,31.0,31.0,31.0,0.0,NRT,日本东京,JP,44.5,53.9,3.0,3,8,8,32.9,53.9,32.8,33.5,53.4,63.4,33.2,53.1,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (202.97.24.190, 202.97.12.190, 202.97.97.70)",-,-,100,100,98,,55.2,88,88,,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.93,32.0,32.0,32.0,0.0,NRT,日本东京,JP,50.8,36.1,22.4,4,8,8,42.0,36.1,55.5,73.4,54.3,56.2,55.9,32.8,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.4,55.0,100,50,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.181,32.0,32.0,32.0,0.0,NRT,日本东京,JP,42.4,34.8,19.3,4,8,8,52.6,34.8,55.2,67.1,31.6,32.6,32.5,32.5,11,,,unknown,未检测到三网骨干,-,-,-,100,100,98,0.9,55.0,100,50,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.243,32.0,32.0,32.0,0.0,NRT,日本东京,JP,45.9,35.4,16.6,4,8,8,30.7,35.4,72.5,53.7,54.5,55.0,32.7,33.0,11,,,unknown,未检测到三网骨干,-,-,-,100,100,98,0.5,55.0,100,50,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.251,32.0,32.0,32.0,0.0,NRT,日本东京,JP,50.3,48.2,21.1,4,8,8,78.7,48.2,37.3,54.4,35.8,77.9,33.3,37.0,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.7,55.0,100,50,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.172,33.0,33.0,33.0,0.0,NRT,日本东京,JP,50.6,36.3,18.0,4,8,8,32.8,36.3,53.5,79.0,76.6,35.2,55.0,36.5,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,4.5,55.0,100,50,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.13,35.5,35.0,36.0,0.0,NRT,日本东京,JP,48.0,35.8,20.3,4,7,8,35.1,35.8,51.6,74.5,,54.6,30.6,54.1,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,2.1,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.43,37.0,35.0,39.0,0.0,NRT,日本东京,JP,52.0,46.6,26.2,4,8,8,34.4,46.6,74.2,75.5,34.5,30.4,52.6,67.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,3.3,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.23,37.5,36.0,39.0,0.0,NRT,日本东京,JP,56.7,49.1,25.4,4,8,8,36.6,49.1,53.6,72.2,52.9,55.1,56.3,78.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.8,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.182,51.5,51.0,52.0,0.0,NRT,日本东京,JP,51.4,49.5,17.5,4,8,8,34.7,49.5,53.2,46.1,61.8,55.7,54.5,55.8,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,4.3,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.92,53.0,53.0,53.0,0.0,NRT,日本东京,JP,50.5,33.2,18.3,4,8,8,75.5,33.2,31.7,54.4,46.7,77.1,32.5,53.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.0,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.194,53.0,53.0,53.0,0.0,NRT,日本东京,JP,52.0,40.7,18.8,4,8,8,53.9,40.7,76.9,31.4,34.4,55.5,71.8,51.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.9,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.29,53.5,53.0,54.0,0.0,NRT,日本东京,JP,47.4,45.9,21.8,4,8,8,66.3,45.9,52.7,35.0,30.7,54.5,32.3,61.8,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,2.4,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.149,53.5,53.0,54.0,0.0,NRT,日本东京,JP,52.3,45.2,19.7,4,8,8,46.7,45.2,54.5,54.9,44.9,60.7,36.4,75.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.2,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.63,54.0,54.0,54.0,0.0,NRT,日本东京,JP,46.2,47.3,21.5,4,8,8,30.2,47.3,36.2,29.9,53.5,53.3,64.7,54.2,,,,unknown,未检测到三网骨干,-,-,-,100,100,98,1.1,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.248,54.0,54.0,54.0,0.0,NRT,日本东京,JP,52.3,47.2,28.4,4,8,8,56.4,47.2,54.8,52.3,52.9,31.7,66.6,56.2,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.0,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.150,55.5,55.0,56.0,0.0,NRT,日本东京,JP,54.1,41.4,21.5,4,8,8,45.7,41.4,55.3,93.3,53.4,55.3,34.9,53.4,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.8,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.209,55.5,52.0,59.0,0.0,NRT,日本东京,JP,53.9,43.0,20.3,4,8,8,55.9,43.0,45.3,53.1,52.9,35.0,90.2,55.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,0.9,55.0,100,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.166,32.5,32.0,33.0,0.0,NRT,日本东京,JP,46.5,56.3,20.6,4,8,8,34.1,56.3,53.1,52.6,53.9,34.7,36.2,51.4,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (180.175.160.1, 101.95.88.74, 202.97.57.25, 202.97.88.250)",-,-,100,100,98,1.0,54.0,88,50,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.159,54.0,54.0,54.0,0.0,NRT,日本东京,JP,61.5,36.2,14.1,4,8,8,55.6,36.2,36.8,72.2,78.0,93.1,55.1,64.6,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,,53.8,100,72,,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.15,54.5,54.0,55.0,0.0,,未知,??,58.6,75.5,2.6,3,7,8,,75.5,44.3,59.2,72.1,51.7,51.5,56.1,,,,unknown,未检测到三网骨干,-,-,-,57,57,57,1.0,53.5,88,100,15,40,40,premium,83,YES,NO,线路质量达标，可尝试优选,
108.162.198.184,32.0,32.0,32.0,0.0,NRT,日本东京,JP,50.2,46.3,41.2,4,8,8,55.2,46.3,55.1,55.4,34.7,66.4,35.5,53.3,11,,,normal,普通骨干(163),"电信163    [普通线路] [已确认] (180.175.160.1, 61.172.90.57, 202.97.85.22, 202.97.43.134)",-,-,97,100,90,0.7,53.2,100,25,15,50,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.134,53.0,52.0,54.0,0.0,,未知,??,53.2,44.3,45.3,4,6,8,,44.3,53.1,33.2,,84.5,53.8,50.6,,,,unknown,未检测到三网骨干,-,-,-,57,57,57,6.4,52.8,100,25,40,40,40,premium,83,YES,NO,线路质量达标，可尝试优选,
108.162.198.158,32.5,32.0,33.0,0.0,NRT,日本东京,JP,49.3,66.2,22.8,4,8,8,54.2,66.2,35.7,60.7,31.8,30.8,60.6,54.3,11,,,unknown,未检测到三网骨干,-,-,-,100,100,98,1.7,52.0,88,50,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.25,33.5,33.0,34.0,0.0,NRT,日本东京,JP,64.6,51.9,25.3,4,8,8,56.6,51.9,55.3,36.7,99.6,75.8,74.1,67.1,11,,,unknown,未检测到三网骨干,-,-,-,97,100,90,1.0,52.0,88,50,15,40,100,premium,100,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.89,35.0,35.0,35.0,0.0,NRT,日本东京,JP,50.1,63.2,23.2,4,8,8,55.0,63.2,72.0,50.7,46.3,34.5,46.1,33.0,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,3.1,52.0,88,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.246,36.0,36.0,36.0,0.0,NRT,日本东京,JP,67.7,56.6,23.4,4,8,8,33.5,56.6,78.6,62.5,93.5,75.7,54.4,86.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,2.2,52.0,88,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
108.162.198.210,36.5,36.0,37.0,0.0,NRT,日本东京,JP,60.9,61.4,20.4,4,8,8,56.0,61.4,72.5,53.7,54.7,62.0,34.2,92.7,,,,unknown,未检测到三网骨干,-,-,-,97,100,90,4.2,52.0,88,50,15,40,100,premium,98,YES,NO,落地亚太(NRT)，适合优选,
